target_population	delivery_model	setting	income_level	followup_reporting_level	n_studies
migrant_minority	chw_door_to_door	community_outreach	HIC	completion_reported	1
migrant_minority	clinic_pickup_return_clinic	primary_care	HIC	completion_reported	1
migrant_minority	mail_to_home_return_mail	home_mail	HIC	completion_reported	1
migrant_minority	outreach_event_distribution	community_outreach	UNK	referral_only	2
migrant_minority	unk	home_mail	UNK	none	1
migrant_minority	unk	other	HIC	referral_only	1
migrant_minority	unk	other	UNK	referral_only	1
never_screened	clinic_pickup_return_clinic	primary_care	HIC	none	2
never_screened	clinic_pickup_return_clinic	primary_care	HIC	referral_only	3
never_screened	clinic_pickup_return_clinic	primary_care	UNK	referral_only	1
never_screened	mail_to_home_return_mail	home_mail	HIC	completion_reported	1
never_screened	mail_to_home_return_mail	home_mail	HIC	referral_only	1
never_screened	outreach_event_distribution	community_outreach	HIC	completion_reported	3
never_screened	outreach_event_distribution	community_outreach	HIC	none	1
never_screened	outreach_event_distribution	community_outreach	HIC	referral_only	1
never_screened	outreach_event_distribution	community_outreach	UNK	referral_only	1
never_screened	unk	home_mail	HIC	referral_only	1
never_screened	unk	other	HIC	completion_reported	1
never_screened	unk	other	HIC	referral_only	2
never_screened	unk	other	UNK	none	2
nonattenders	clinic_pickup_return_clinic	primary_care	HIC	completion_reported	1
nonattenders	clinic_pickup_return_clinic	primary_care	HIC	referral_only	2
nonattenders	clinic_pickup_return_clinic	primary_care	UNK	completion_reported	4
nonattenders	clinic_pickup_return_clinic	primary_care	UNK	referral_only	8
nonattenders	mail_to_home_return_mail	home_mail	UNK	completion_reported	4
nonattenders	mail_to_home_return_mail	home_mail	UNK	referral_only	3
nonattenders	unk	home_mail	HIC	completion_reported	1
nonattenders	unk	home_mail	HIC	referral_only	1
nonattenders	unk	home_mail	UNK	completion_reported	4
nonattenders	unk	home_mail	UNK	referral_only	2
nonattenders	unk	other	HIC	completion_reported	2
nonattenders	unk	other	HIC	referral_only	3
nonattenders	unk	other	UNK	completion_reported	7
nonattenders	unk	other	UNK	none	1
nonattenders	unk	other	UNK	referral_only	8
other	chw_door_to_door	community_outreach	UNK	completion_reported	1
other	chw_door_to_door	community_outreach	UNK	none	1
other	clinic_pickup_return_clinic	primary_care	HIC	completion_reported	1
other	clinic_pickup_return_clinic	primary_care	HIC	referral_only	3
other	clinic_pickup_return_clinic	primary_care	UNK	completion_reported	2
other	clinic_pickup_return_clinic	primary_care	UNK	none	3
other	clinic_pickup_return_clinic	primary_care	UNK	referral_only	7
other	mail_to_home_return_mail	home_mail	UNK	completion_reported	1
other	mail_to_home_return_mail	home_mail	UNK	referral_only	2
other	outreach_event_distribution	community_outreach	HIC	none	1
other	outreach_event_distribution	community_outreach	HIC	referral_only	3
other	outreach_event_distribution	community_outreach	UNK	completion_reported	3
other	outreach_event_distribution	community_outreach	UNK	none	2
other	outreach_event_distribution	community_outreach	UNK	referral_only	4
other	unk	home_mail	HIC	referral_only	2
other	unk	home_mail	UNK	completion_reported	2
other	unk	home_mail	UNK	none	2
other	unk	home_mail	UNK	referral_only	3
other	unk	other	HIC	completion_reported	1
other	unk	other	HIC	none	2
other	unk	other	HIC	referral_only	1
other	unk	other	UNK	completion_reported	7
other	unk	other	UNK	none	4
other	unk	other	UNK	referral_only	3
rural_low_access	mail_to_home_return_mail	home_mail	HIC	none	1
rural_low_access	outreach_event_distribution	community_outreach	HIC	completion_reported	1
rural_low_access	outreach_event_distribution	community_outreach	HIC	none	1
rural_low_access	outreach_event_distribution	community_outreach	HIC	referral_only	1
rural_low_access	unk	home_mail	UNK	completion_reported	1
rural_low_access	unk	home_mail	UNK	referral_only	1
rural_low_access	unk	other	HIC	referral_only	1
underscreened_general	chw_door_to_door	community_outreach	UNK	completion_reported	2
underscreened_general	clinic_pickup_return_clinic	primary_care	HIC	completion_reported	1
underscreened_general	clinic_pickup_return_clinic	primary_care	HIC	referral_only	5
underscreened_general	clinic_pickup_return_clinic	primary_care	UNK	none	3
underscreened_general	clinic_pickup_return_clinic	primary_care	UNK	referral_only	17
underscreened_general	mail_to_home_return_mail	home_mail	HIC	none	3
underscreened_general	mail_to_home_return_mail	home_mail	HIC	referral_only	6
underscreened_general	mail_to_home_return_mail	home_mail	UNK	completion_reported	4
underscreened_general	mail_to_home_return_mail	home_mail	UNK	none	3
underscreened_general	mail_to_home_return_mail	home_mail	UNK	referral_only	10
underscreened_general	outreach_event_distribution	community_outreach	HIC	completion_reported	1
underscreened_general	outreach_event_distribution	community_outreach	HIC	referral_only	2
underscreened_general	outreach_event_distribution	community_outreach	UNK	none	1
underscreened_general	outreach_event_distribution	community_outreach	UNK	referral_only	4
underscreened_general	unk	home_mail	HIC	completion_reported	1
underscreened_general	unk	home_mail	HIC	referral_only	2
underscreened_general	unk	home_mail	UNK	none	1
underscreened_general	unk	home_mail	UNK	referral_only	3
underscreened_general	unk	other	HIC	completion_reported	2
underscreened_general	unk	other	HIC	none	2
underscreened_general	unk	other	HIC	referral_only	5
underscreened_general	unk	other	UNK	completion_reported	1
underscreened_general	unk	other	UNK	none	5
underscreened_general	unk	other	UNK	referral_only	4
