record_id	pmid	doi	year	title_short	country_or_region	income_level	target_population	target_population_notes	setting	delivery_model	return_channel	followup_support	self_sampling_confirmed	assay_type	triage_pathway	design	n_invited	n_participated	uptake_pct	followup_closure_reported	followup_reporting_level	followup_completion_pct	followup_notes	equity_stratified_results_reported	acceptability_reported	cost_reported	key_barriers_facilitators	limitations	implementation_core_status	implementation_core_reason	implementation_core_evidence
PMID_40567147	40567147	10.1177/09691413251352999	2026	Ripple effect of temporary self-sampling HPV test on screening uptake in the next round: A secondary analysis of the ACCESS randomized controlled trial.	Japan	HIC	nonattenders	Women not participating in the screening programme for 3 or more years.	organized_screening	mail_to_home_return_mail	mail	reminders	Y	DNA	cytology	secondary_RCT_analysis	15107			N	none		Added after final 58-record adjudication; not part of the earlier broad map.	N	N	N		Added after final adjudication of high-risk false-negative records; charted from PubMed abstract-level information.	CORE	Secondary analysis of ACCESS RCT in women not screened for at least three years; reports subsequent-round uptake after a self-sampling HPV intervention.	Final adjudication based on PubMed abstract evidence and independent review worksheet.
PMID_41118505	41118505	10.1097/olq.0000000000002256	2026	Underscreened Women's Reactions to At-Home Self-Collected Human Papillomavirus Test Result Delivery.	UNK	UNK	underscreened_general		home_mail	outreach_event_distribution	mail	unk	Y	UNK	cytology	observational		93.0		Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41380156	41380156	10.1097/aog.0000000000006147	2026	Preferences Among U.S. Women for Cervical Cancer Screening with Self-Collected Specimens for Human Papillomavirus Testin	United States	HIC	never_screened		primary_care	unk	in_person	unk	Y	UNK	cytology	observational				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41495727	41495727	10.1186/s12905-025-04226-9	2026	Is there a difference in sample adequacy when vaginal HPV DNA samples are self-collected at home, a health post, or a pr	UNK	UNK	other		home_mail	outreach_event_distribution	unk	unk	Y	DNA	unk	other				Y	referral_only			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41505134	41505134	10.1001/jamanetworkopen.2025.51345	2026	Streamlined Self-Collection Screening for Sexually Transmitted Infections and Human Papillomavirus: A Single-Group Secon	UNK	UNK	underscreened_general		home_mail	mail_to_home_return_mail	mail	unk	Y	UNK	cytology	individual_RCT	327.0			N	none		Follow-up care referred to STI-positive participants, not cervical/HPV-positive follow-up completion.	N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41545215	41545215	10.1136/bmjgh-2025-021707	2026	Comparative efficacy, feasibility and acceptability of HPV DNA testing on first-void urine versus self-collected vaginal	UNK	UNK	other		community_outreach	clinic_pickup_return_clinic	mixed	unk	Y	DNA	direct_colposcopy	observational				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41546783	41546783	10.1007/s10552-025-02108-x	2026	Leveraging the role of families in decision-making to inform a program of HPV-based self-collection for cervical screeni	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	cytology	program_evaluation				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41561556	41561556	10.1136/bmjph-2025-003254	2026	Understanding knowledge, beliefs, values and barriers towards cervical cancer screening and self-sampling amongst migran	UNK	UNK	migrant_minority		community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	cytology	observational				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41611360	41611360	10.1016/s2468-2667(25)00304-4	2026	Uptake and performance of self-collection offered through primary care to all eligible participants in a national cervic	Australia	HIC	underscreened_general		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	UNK	direct_colposcopy	other				Y	referral_only			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41621746	41621746	10.1016/j.jcpo.2026.100710	2026	A pilot study on the acceptability and feasibility of HPV self-sampling for cervical cancer screening among women attending urban hospitals in Kumasi, Ghana.	Ghana	LMIC	rural_low_access	Low-resource country pilot in urban hospitals.	clinic	clinic_pickup_return_clinic	clinic	in_person	Y	DNA	VIA	cross_sectional_pilot	60	60	100.0	Y	referral_only		Reports VIA confirmation after self-collection; no post-positive completion denominator. Added after final 58-record adjudication; not part of the earlier broad map.	N	Y	N		Added after final adjudication of high-risk false-negative records; charted from PubMed abstract-level information.	CORE	Ghana pilot study asked participants to self-collect HPV samples and reports enrollment, acceptability, HPV positivity, and VIA confirmation.	Final adjudication based on PubMed abstract evidence and independent review worksheet.
