pmid	doi	pmcid	title	journal	year	first_author	url
41787233	10.1007/s10900-026-01554-1	9131755	Acceptability and Feasibility of Home-Based Human Papillomavirus Self-Testing as Primary Screening for Cervical Cancer Detection in the State of Alabama.	Journal of community health	2026	Van Thi Ha Nghiem	https://pubmed.ncbi.nlm.nih.gov/41787233/
41782308	10.1002/cam4.71654	PMC12961161	Native American Women's Willingness to Screen for Both Cervical and Colorectal Cancer at Home.	Cancer medicine	2026	Keely K Ulmer	https://pubmed.ncbi.nlm.nih.gov/41782308/
41772440	10.1186/s12875-026-03247-z		Clinician and patient experiences with opportunistic offer of HPV self-testing in Aotearoa New Zealand primary care clinics: interview and survey findings.	BMC primary care	2026	Karen Bartholomew	https://pubmed.ncbi.nlm.nih.gov/41772440/
41762091	10.31083/bjhm50727		Prevention and Diagnosis of Cervical Cancers in the UK and Europe: What Have We Learned in the Last 10 Years and What Is Next?	British journal of hospital medicine (London, England : 2005)	2026	Hannah R Williams	https://pubmed.ncbi.nlm.nih.gov/41762091/
41747258	10.1097/aog.0000000000006179		Worldwide Evaluation of Cervical Cancer Self-Sampling Devices.	Obstetrics and gynecology	2026	Edward K Maybury	https://pubmed.ncbi.nlm.nih.gov/41747258/
41744859	10.3390/curroncol33020095	PMC12939021	Transitioning from Cytology to HPV Test-Based Primary Cervical Screening in Canada: A Population-Based Survey of Women's Screening and Information Preferences.	Current oncology (Toronto, Ont.)	2026	Ovidiu Tatar	https://pubmed.ncbi.nlm.nih.gov/41744859/
41732978	10.1017/s1478951526101849		Cervical cancer research disparities among African immigrant women in the United States: A systematic review.	Palliative & supportive care	2026	Dukanwojo Beulah Suleman	https://pubmed.ncbi.nlm.nih.gov/41732978/
41728465	10.7759/cureus.102046	PMC12924082	Role of Training Paramedical Staff for Cervical Cancer Screening via Human Papillomavirus Self-Sampling in Remote Mountainous Regions: A Pilot Feasibility Study.	Cureus	2026	Nilanchali Singh	https://pubmed.ncbi.nlm.nih.gov/41728465/
41721302	10.1186/s12885-026-15771-3		Enhancing cervical cancer screening uptake through self-sampling for HPV DNA testing: insights and results from implementing in routine HIV clinics serving women living with HIV in Nairobi, Kenya, 2021-2024.	BMC cancer	2026	Rebeccah Wangusi	https://pubmed.ncbi.nlm.nih.gov/41721302/
41719438	10.1177/2752535x261427045		Supporting Informed Decision-Making Regarding Participation in Cervical Cancer Prevention Programs: A Qualitative Study Among Turkish-, Moroccan-, and Syrian-Dutch Women.	Community health equity research & policy	2026	Tharsini Veeravagu	https://pubmed.ncbi.nlm.nih.gov/41719438/
41715026	10.1186/s12889-026-26212-y		Experiences with HPV self-sampling in India: advancing cervical cancer prevention and screening.	BMC public health	2026	Kavita V Anand	https://pubmed.ncbi.nlm.nih.gov/41715026/
41685227	10.1177/20552076261421347	PMC12891408	Delivering HPV results via telehealth: Patient needs and engagement following an at-home self-collection study.	Digital health	2026	Elizabeth Swenson	https://pubmed.ncbi.nlm.nih.gov/41685227/
41677057	10.1177/17579139251412200		Uptake of cervical screening and attitudes to HPV self-sampling in Irish Traveller women, an ethnic minority group.	Perspectives in public health	2026	Patricia Fitzpatrick	https://pubmed.ncbi.nlm.nih.gov/41677057/
41666300	10.1097/lgt.0000000000000935		Role of Self-Sampling Devices for HPV Detection in Cervical Cancer Screening: A Systematic Review.	Journal of lower genital tract disease	2026	Maria Paula Quintero-Uribe	https://pubmed.ncbi.nlm.nih.gov/41666300/
41665700	10.1007/s10552-026-02128-1	PMC12891099	How would Australian women and people with a cervix like to access self-collection for cervical screening? Screening preferences from a national survey.	Cancer causes & control : CCC	2026	Claire Bavor	https://pubmed.ncbi.nlm.nih.gov/41665700/
41660896	10.31557/apjcp.2026.27.2.405		Performance of a New Brazilian Self-Sampling Device for High-Risk Human Papillomavirus Screening.	Asian Pacific journal of cancer prevention : APJCP	2026	Camila Buziqua Dartibale	https://pubmed.ncbi.nlm.nih.gov/41660896/
41639581	10.1111/1471-0528.70170		Evaluation of the Quality and Suitability of Self-Collected Vaginal and Urine Samples for Human Papillomavirus Testing: A Prospective Matched Study.	BJOG : an international journal of obstetrics and gynaecology	2026	Kim Chu	https://pubmed.ncbi.nlm.nih.gov/41639581/
41634726	10.1186/s12905-026-04310-8	PMC12955301	The effect of a cervical testing campaign on incarcerated females- a repeated cross-sectional study in Norwegian prisons.	BMC women's health	2026	Ann-Chatrin Linqvist Leonardsen	https://pubmed.ncbi.nlm.nih.gov/41634726/
41621746	10.1016/j.jcpo.2026.100710		A pilot study on the acceptability and feasibility of HPV self-sampling for cervical cancer screening among women attending urban hospitals in Kumasi, Ghana.	Journal of cancer policy	2026	Ernest Adankwah	https://pubmed.ncbi.nlm.nih.gov/41621746/
41611360	10.1016/s2468-2667(25)00304-4		Uptake and performance of self-collection offered through primary care to all eligible participants in a national cervical screening programme in Australia: a retrospective cohort study.	The Lancet. Public health	2026	Farhana Sultana	https://pubmed.ncbi.nlm.nih.gov/41611360/
41611269	10.3760/cma.j.cn112141-20250909-00420		[Value of self-sampling cervical exfoliated cells of HPV E6/E7 mRNA detection in cervical cancer screening: a multicenter clinical study].	Zhonghua fu chan ke za zhi	2026	F Y Xiao	https://pubmed.ncbi.nlm.nih.gov/41611269/
41596450	10.3390/ijms27020803	PMC12841577	HPV-Driven Cervical Carcinogenesis: Genetic and Epigenetic Mechanisms and Diagnostic Approaches.	International journal of molecular sciences	2026	Evangelia Legaki	https://pubmed.ncbi.nlm.nih.gov/41596450/
41590226	10.3390/diseases14010010	PMC12839870	Cancer Screening and Prevention in MENA and Mediterranean Populations: A Multi-Level Analysis of Barriers, Knowledge Gaps, and Interventions Across Indigenous and Diaspora Communities.	Diseases (Basel, Switzerland)	2025	Sebahat Gozum	https://pubmed.ncbi.nlm.nih.gov/41590226/
41569190	10.31557/apjcp.2026.27.1.219		Between Belief and Biology: Cervical Cancer's Occurrence and Health Literacy among India's Muslim Women.	Asian Pacific journal of cancer prevention : APJCP	2026	Arif Habib Hanga	https://pubmed.ncbi.nlm.nih.gov/41569190/
41561556	10.1136/bmjph-2025-003254	PMC12815087	Understanding knowledge, beliefs, values and barriers towards cervical cancer screening and self-sampling amongst migrant Muslim women in Southwest London: an in-depth qualitative interview study.	BMJ public health	2026	Sophie Webb	https://pubmed.ncbi.nlm.nih.gov/41561556/
41556025	10.7759/cureus.99604	PMC12812232	Interventions in Primary Care to Improve Cervical Cancer Screening: A Systematic Review.	Cureus	2025	Anas E Ahmed	https://pubmed.ncbi.nlm.nih.gov/41556025/
41545215	10.1136/bmjgh-2025-021707	PMC12815044	Comparative efficacy, feasibility and acceptability of HPV DNA testing on first-void urine versus self-collected vaginal samples: a real-world study in a resource-limited setting.	BMJ global health	2026	Sreeya Bose	https://pubmed.ncbi.nlm.nih.gov/41545215/
41514528	10.3390/cancers18010014	PMC12784783	Human Papillomavirus Self-Sampling Attitudes Amongst Women Living with HIV Prior to a Self-Sampling Intervention.	Cancers	2025	Sofia Nicolls	https://pubmed.ncbi.nlm.nih.gov/41514528/
41505134	10.1001/jamanetworkopen.2025.51345	PMC12784235	Streamlined Self-Collection Screening for Sexually Transmitted Infections and Human Papillomavirus: A Single-Group Secondary Analysis of a Randomized Clinical Trial.	JAMA network open	2026	Anisha P Ganguly	https://pubmed.ncbi.nlm.nih.gov/41505134/
41495727	10.1186/s12905-025-04226-9		Is there a difference in sample adequacy when vaginal HPV DNA samples are self-collected at home, a health post, or a primary care health center in rural Ethiopia? Implications for community cervical cancer screening.	BMC women's health	2026	Alexandra Hernandez	https://pubmed.ncbi.nlm.nih.gov/41495727/
41475829	10.1136/bmjopen-2025-105852	PMC12766773	Culturally adapting and evaluating an evidence-based communication intervention with HPV self-sampling to improve cervical cancer screening among women living with HIV in Ghana: a mixed-methods study.	BMJ open	2025	Matthew Asare	https://pubmed.ncbi.nlm.nih.gov/41475829/
41467104	10.2147/cmar.s552282	PMC12744586	Improving Patient Education Materials for HPV Self-Collection: Insights from Women at High Risk of Developing Cervical Cancer.	Cancer management and research	2025	Rahma S Mkuu	https://pubmed.ncbi.nlm.nih.gov/41467104/
41466250	10.1186/s12913-025-13768-5	PMC12751595	Readiness to transition to HPV self-collection from VIA screening: a mixed methods health systems assessment from Tamil Nadu, India.	BMC health services research	2025	Anu Mary Oommen	https://pubmed.ncbi.nlm.nih.gov/41466250/
41459991	10.1002/ijc.70321		Cancer detection using human papillomavirus self-sampling targeting long-term non-attenders in an organized cervical screening program.	International journal of cancer	2025	K Miriam Elfström	https://pubmed.ncbi.nlm.nih.gov/41459991/
41459933	10.1128/jcm.01318-25	PMC12893011	Performance of a novel, urine-based test for the detection of cervical human papillomavirus infection.	Journal of clinical microbiology	2026	Sharmila Manjeshwar	https://pubmed.ncbi.nlm.nih.gov/41459933/
41459847	10.31557/apjcp.2025.26.12.4331		Evaluating The Feasibility and Acceptability of Cervical Cancer Screening in an Urban Slum Community by HPV Self-Sampling With the Aid of Telecounselling: Lessons Learnt.	Asian Pacific journal of cancer prevention : APJCP	2025	Nilanchali Singh	https://pubmed.ncbi.nlm.nih.gov/41459847/
