pmid	authors	title	journal	year	volume	issue	pages	doi
30178033	Tricco AC, Lillie E, Zarin W, et al	PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation.	Ann Intern Med	2018	169	7	467-473	10.7326/m18-0850
10474547	Glasgow RE, Vogt TM, Boles SM	Evaluating the public health impact of health promotion interventions: the RE-AIM framework.	Am J Public Health	1999	89	9	1322-7	10.2105/ajph.89.9.1322
19664226	Damschroder LJ, Aron DC, Keith RE, Kirsh SR, Alexander JA, Lowery JC	Fostering implementation of health services research findings into practice: a consolidated framework for advancing implementation science.	Implement Sci	2009	4		50	10.1186/1748-5908-4-50
20957426	Proctor E, Silmere H, Raghavan R, et al	Outcomes for implementation research: conceptual distinctions, measurement challenges, and research agenda.	Adm Policy Ment Health	2011	38	2	65-76	10.1007/s10488-010-0319-7
30140884	US Preventive Services Task Force, Curry SJ, Krist AH, et al	Screening for Cervical Cancer: US Preventive Services Task Force Recommendation Statement.	JAMA	2018	320	7	674-686	10.1001/jama.2018.10897
29603147	Doubeni CA, Gabler NB, Wheeler CM, et al	Timely follow-up of positive cancer screening results: A systematic review and recommendations from the PROSPR Consortium.	CA Cancer J Clin	2018	68	3	199-216	10.3322/caac.21452
32507855	Kyrgiou M, Arbyn M, Bergeron C, et al	Cervical screening: ESGO-EFC position paper of the European Society of Gynaecologic Oncology (ESGO) and the European Federation of Colposcopy (EFC).	Br J Cancer	2020	123	4	510-517	10.1038/s41416-020-0920-9
34191754	Hamers FF, Poullié AI, Arbyn M	Updated evidence-based recommendations for cervical cancer screening in France.	Eur J Cancer Prev	2022	31	3	279-286	10.1097/cej.0000000000000701
30699276	Ferreccio C	[New strategies for the prevention and control of cervical cancer in Chile.].	Salud Publica Mex	2018	60	6	713-721	10.21149/8577
38723214	Shastri SS, McNeill LH, Shete S	Culturally Competent Education and Human Papillomavirus Self-Sampling Achieves Healthy People 2030 Cervical Screening Target Among Low-Income Non-Hispanic Black and Hispanic Women.	JCO Glob Oncol	2024	10		e2400005	10.1200/go.24.00005
21343937	Szarewski A, Cadman L, Mesher D, et al	HPV self-sampling as an alternative strategy in non-attenders for cervical screening - a randomised controlled trial.	Br J Cancer	2011	104	6	915-20	10.1038/bjc.2011.48
25403717	Cadman L, Wilkes S, Mansour D, et al	A randomized controlled trial in non-responders from Newcastle upon Tyne invited to return a self-sample for Human Papillomavirus testing versus repeat invitation for cervical screening.	J Med Screen	2015	22	1	28-37	10.1177/0969141314558785
23712523	Sancho-Garnier H, Tamalet C, Halfon P, et al	HPV self-sampling or the Pap-smear: a randomized study among cervical screening nonattenders from lower socioeconomic groups in France.	Int J Cancer	2013	133	11	2681-7	10.1002/ijc.28283
23867008	Darlin L, Borgfeldt C, Forslund O, et al	Comparison of use of vaginal HPV self-sampling and offering flexible appointments as strategies to reach long-term non-attending women in organized cervical screening.	J Clin Virol	2013	58	1	155-60	10.1016/j.jcv.2013.06.029
24736093	Bosgraaf RP, Ketelaars PJ, Verhoef VM, et al	Reasons for non-attendance to cervical screening and preferences for HPV self-sampling in Dutch women.	Prev Med	2014	64		108-13	10.1016/j.ypmed.2014.04.011
25284037	Virtanen A, Nieminen P, Niironen M, Luostarinen T, Anttila A	Self-sampling experiences among non-attendees to cervical screening.	Gynecol Oncol	2014	135	3	487-94	10.1016/j.ygyno.2014.09.019
26850941	Sultana F, English DR, Simpson JA, et al	Home-based HPV self-sampling improves participation by never-screened and under-screened women: Results from a large randomized trial (iPap) in Australia.	Int J Cancer	2016	139	2	281-90	10.1002/ijc.30031
27235844	Lim AW, Hollingworth A, Kalwij S, Curran G, Sasieni P	Offering self-sampling to cervical screening non-attenders in primary care.	J Med Screen	2017	24	1	43-49	10.1177/0969141316639346
30216191	Ivanus U, Jerman T, Fokter AR, et al	Randomised trial of HPV self-sampling among non-attenders in the Slovenian cervical screening programme ZORA: comparing three different screening approaches.	Radiol Oncol	2018	52	4	399-412	10.2478/raon-2018-0036
31427275	Agorastos T, Chatzistamatiou K, Tsertanidou A, et al	Implementation of HPV-based Cervical Cancer Screening Combined with Self-sampling Using a Midwifery Network Across Rural Greece: The GRECOSELF Study.	Cancer Prev Res (Phila)	2019	12	10	701-710	10.1158/1940-6207.capr-19-0192
31522376	Andersson S, Belkić K, Mints M, Östensson E	Acceptance of Self-Sampling Among Long-Term Cervical Screening Non-Attenders with HPV-Positive Results: Promising Opportunity for Specific Cancer Education.	J Cancer Educ	2021	36	1	126-133	10.1007/s13187-019-01608-0
33388330	Fuzzell LN, Perkins RB, Christy SM, Lake PW, Vadaparampil ST	Cervical cancer screening in the United States: Challenges and potential solutions for underscreened groups.	Prev Med	2021	144		106400	10.1016/j.ypmed.2020.106400
34694179	Veerus P, Hallik R, Jänes J, et al	Human papillomavirus self-sampling for long-term non-attenders in cervical cancer screening: A randomised feasibility study in Estonia.	J Med Screen	2022	29	1	53-60	10.1177/09691413211052499
34875556	Sahlgren H, Sparén P, Elfgren K, Miriam Elfström K	Feasibility of sending a direct send HPV self-sampling kit to long-term non-attenders in an organized cervical screening program.	Eur J Obstet Gynecol Reprod Biol	2022	268		68-73	10.1016/j.ejogrb.2021.11.430
36371904	Knauss T, Hansen BT, Pedersen K, Aasbø G, Kunst N, Burger EA	The cost-effectiveness of opt-in and send-to-all HPV self-sampling among long-term non-attenders to cervical cancer screening in Norway: The Equalscreen randomized controlled trial.	Gynecol Oncol	2023	168		39-47	10.1016/j.ygyno.2022.10.027
38751040	Hansen BT, Nygård M, Castle PE, Burger EA, Aasbø G	Sociodemographic characteristics associated with cervical cancer screening participation by send-to-all and opt-in HPV self-sampling: Who benefits? Results from a randomized controlled trial among long-term non-attending women in Norway.	Int J Cancer	2024	155	6	1053-1067	10.1002/ijc.34989
39429813	Lim AWW, Deats K, Gambell J, et al	Opportunistic offering of self-sampling to non-attenders within the English cervical screening programme: a pragmatic, multicentre, implementation feasibility trial with randomly allocated cluster intervention start dates (YouScreen).	EClinicalMedicine	2024	73		102672	10.1016/j.eclinm.2024.102672
39579017	Pedersen BT, Sonne SB, Pedersen H, et al	Participation and relative cost of attendance by direct-mail compared to opt-in invitation strategy for HPV self-sampling targeting cervical screening non-attenders: A large-scale, randomized, pragmatic study.	Int J Cancer	2025	156	8	1594-1605	10.1002/ijc.35263
41408509	Bartholomew K, Yang LPH, Neville C, et al	Opportunistic offer of human papillomavirus (HPV) self-testing in ethnically diverse primary care clinics in Aotearoa New Zealand: an implementation study.	BMC Prim Care	2025	27	1	24	10.1186/s12875-025-03139-8
41445714	Babu MS, Kasting ML, Rodriguez NM	Patient attitudes toward HPV self-sampling and community health worker-delivered cervical cancer screening services in an underserved area.	J Clin Transl Sci	2025	9	1	e270	10.1017/cts.2025.10172
41459991	Elfström KM, Hortlund M, Öhman D, Dillner J	Cancer detection using human papillomavirus self-sampling targeting long-term non-attenders in an organized cervical screening program.	Int J Cancer	2025				10.1002/ijc.70321
21484793	Gök M, van Kemenade FJ, Heideman DA, et al	Experience with high-risk human papillomavirus testing on vaginal brush-based self-samples of non-attendees of the cervical screening program.	Int J Cancer	2012	130	5	1128-35	10.1002/ijc.26128
21497619	Castle PE, Rausa A, Walls T, et al	Comparative community outreach to increase cervical cancer screening in the Mississippi Delta.	Prev Med	2011	52	6	452-5	10.1016/j.ypmed.2011.03.018
21752985	Virtanen A, Nieminen P, Luostarinen T, Anttila A	Self-sample HPV tests as an intervention for nonattendees of cervical cancer screening in Finland: a randomized trial.	Cancer Epidemiol Biomarkers Prev	2011	20	9	1960-9	10.1158/1055-9965.epi-11-0307
22172570	Gök M, Heideman DA, van Kemenade FJ, et al	Offering self-sampling for human papillomavirus testing to non-attendees of the cervical screening programme: Characteristics of the responders.	Eur J Cancer	2012	48	12	1799-808	10.1016/j.ejca.2011.11.022
23137168	Tamalet C, Le Retraite L, Leandri FX, Heid P, Garnier HS, Piana L	Vaginal self-sampling is an adequate means of screening HR-HPV types in women not participating in regular cervical cancer screening.	Clin Microbiol Infect	2013	19	1	E44-E50	10.1111/1469-0691.12063
24529697	Verhoef VM, Bosgraaf RP, van Kemenade FJ, et al	Triage by methylation-marker testing versus cytology in women who test HPV-positive on self-collected cervicovaginal specimens (PROHTECT-3): a randomised controlled non-inferiority trial.	Lancet Oncol	2014	15	3	315-22	10.1016/s1470-2045(14)70019-1
25432954	Rozemeijer K, de Kok IM, Naber SK, et al	Offering Self-Sampling to Non-Attendees of Organized Primary HPV Screening: When Do Harms Outweigh the Benefits?	Cancer Epidemiol Biomarkers Prev	2015	24	5	773-82	10.1158/1055-9965.epi-14-0998
25742805	Lim AW, Sasieni P	Consultation rates in cervical screening non-attenders: opportunities to increase screening uptake in GP primary care.	J Med Screen	2015	22	2	93-9	10.1177/0969141315573345
